Производитель,ПР,PETG,PET,ABS,ASA,PA6,PA12,PPA,Другие PA,PPS,PC,PP,Другое
Bambu Lab,9.3,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/petg-cf-plastik-s-katushkoy-dlya-3d-printera-bambu-lab-black-chernyy-31100-1977603443 ""PETG CF""){ target=""_blank"" }","[:material-web:](https://us.store.bambulab.com/products/pet-cf ""PET CF""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/abs-gf-plastik-s-katushkoy-dlya-3d-printera-bambu-lab-gray-seryy-41102-2038386002 ""ABS GF""){ target=""_blank"" }","[:material-web:](https://us.store.bambulab.com/products/asa-cf ""ASA CF""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/plastik-filament-dlya-3d-printera-bambu-lab-pa6-gf-black-72104-1kg-na-katushke-2835006075 ""PA6 GF""){ target=""_blank"" }",-,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/filament-dlya-3d-pechati-bambu-ppa-cf-2086782148 ""PPA CF""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/katushka-paht-cf-plastika-bambu-lab-1-75-mm-0-5-kg-chernyy-1656848585 ""PAHT-CF""){ target=""_blank"" }","[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/chernila-rashodnye-materialy-dlya-3d-pechati-bambu-lab-pps-cf-armirovannye-uglerodnym-2666369797 ""PPS CF""){ target=""_blank"" }",-,-,-
Eryone,9.1,"[:material-shopping:](https://alli.pub/7ak8o2?erid=2SDnjdbR6E3 ""PETG CF""){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7ak8q0?erid=2SDnje5arab ""ABS GF""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ak8r6?erid=2SDnjeSLgXR ""ASA GF""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7ak8rr?erid=2SDnjek8XuZ ""ASA CF""){ target=""_blank"" }",-,-,-,-,-,-,-,-
Novaprint,9.0,-,-,"[:material-web:](https://novaprint3d.ru/nova_absgf17 ""ABS GF5""){ target=""_blank"" } [:material-web:](https://novaprint3d.ru/nova_absgf17 ""ABS GF10""){ target=""_blank"" }",-,"[:material-web:](https://novaprint3d.ru/nova_pagf ""PA-GF30""){ target=""_blank"" } [:material-web:](https://novaprint3d.ru/nova_pagf ""PA-GF30HT""){ target=""_blank"" }",-,-,-,-,-,"[:material-web:](https://novaprint3d.ru/nova_ppgf ""PP GF""){ target=""_blank"" } [:material-web:](https://alli.pub/7ak8rr?erid=2SDnjek8XuZ ""PP GF30""){ target=""_blank"" }",-
ESUN,8.9,"[:material-shopping:](https://alli.pub/7ak9yq?erid=2SDnjdBjyZy ""PETG CF""){ taget=""_blank"" }","[:material-shopping:](https://alli.pub/7ak9xy?erid=2SDnjd1N4bZ ""PET CF""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7ak9zb?erid=2SDnjdZyno9 ""ABS CF""){ target=""_blank"" }",-,"[:material-shopping:](https://alli.pub/7aka0h?erid=2SDnje5dYS3 ""PA CF""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7aka03?erid=2SDnjdyhbJf ""PA12 CF""){ target=""_blank"" }",-,-,-,-,-,-
FDPlast,8.8,-,-,"[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/9104/8632/ ""ABS CF15""){ target=""_blank"" }",-,-,"[:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/9102/ ""PA12 CF30""){ target=""_blank"" } [:material-web:](https://www.sopytka.ru/products/prutki-dlya-3d-printera/9103/ ""PA12 GF30""){ target=""_blank"" }",-,-,-,-,-,-
FusRock,8.8,"[:material-shopping:](https://alli.pub/7akalh?erid=2SDnjc8yVTd ""PETG CF HF""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7akamu?erid=2SDnjcYhHy9 ""PET CF""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7aka5j?erid=2SDnjc5zqw5 ""ABS GF""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7aka6b?erid=2SDnjcHrkBq ""NexABS GF25""){ target=""_blank"" }","[:material-shopping:](https://alli.pub/7akajj?erid=2SDnjeYKzU7 ""ASA GF10""){ target=""_blank"" } [:material-shopping:](https://alli.pub/7akajx?erid=2SDnjer7qrF ""ASA CF20""){ target=""_blank"" }",-,-,-,"[:material-shopping:](https://alli.pub/7akaki?erid=2SDnjbxbaVD ""PAHT CF15""){ target=""_blank"" }",-,-,-,-
KINGROON,8.7,"[:material-shopping:](https://alli.pub/7akayp?erid=2SDnjdsnz71 ""PETG CF""){ target=""_blank"" }",-,-,-,-,-,-,"[:material-shopping:](https://alli.pub/7akazv?erid=2SDnjeBaqV9 ""PA CF15""){ target=""_blank"" }",-,-,-,-
3D-Club,8.2,-,-,"[:material-web:](https://3d-club.ru/product/abs-carbon-cf11/ ""ABS CF11""){ target=""_blank"" }",-,"[:material-web:](https://3d-club.ru/product/nylon-pa6-cf18/ ""PA6 CF18""){ target=""_blank"" }",-,-,-,-,-,"[:material-web:](https://3d-club.ru/product/pp-cf/ ""PP CF17""){ target=""_blank"" }",-
Filamentarno,7.6,"[:material-web:](https://www.filamentarno.ru/id=313 ""PETG GF8""){ target=""_blank"" }",-,"[:material-web:](https://www.filamentarno.ru/id=94 ""ABS GF12""){ target=""_blank"" } [:material-web:](https://www.filamentarno.ru/id=287 ""ABS CF4""){ target=""_blank"" }<br>[:material-web:](https://www.filamentarno.ru/id=130 ""ABS GF8""){ target=""_blank"" } [:material-web:](https://www.filamentarno.ru/id=93 ""ABS GF4""){ target=""_blank"" }",-,-,"[:material-web:](https://www.filamentarno.ru/id=269 ""PA12 CF15""){ target=""_blank"" }",-,"[:material-web:](https://www.filamentarno.ru/id=132 ""PA66 GF30""){ target=""_blank"" }","[:material-web:](https://www.filamentarno.ru/id=194 ""PPS GF40""){ target=""_blank"" }",-,"[:material-web:](https://www.filamentarno.ru/id=144 ""PP GF30""){ target=""_blank"" }","[:material-web:](https://www.filamentarno.ru/id=130 ""ABS/PA GF8""){ target=""_blank"" } [:material-web:](https://www.filamentarno.ru/id=276 ""ABS/PBT GF13""){ target=""_blank"" }<br>[:material-web:](https://www.filamentarno.ru/id=80 ""TPU GF30""){ target=""_blank"" } [:material-web:](https://www.filamentarno.ru/id=97 ""TPU GF10""){ target=""_blank"" }"
ATECO,7.5,-,-,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/carbex-cf-abs-cf-ateco-uglenapolnennyy-plastik-dlya-3d-pechati-1-75-mm-chernyy-0-750-kg-1542205278 ""ABS CF""){ target=""_blank"" }",-,-,-,-,-,-,"[:fontawesome-solid-shopping-cart:](https://www.ozon.ru/product/billuron-mf-pc-mf-ateco-mineralonapolnennyy-plastik-dlya-3d-pechati-1-75-mm-chernyy-750-gr-2770119235 ""PC MF""){ target=""_blank"" }",-,-
